Lugar,X,Y
Toro,-4,4
Vino de España,NaN,NaN
Ribera del Duero,0,4
Montilla-Moriles,-3.5,-7
Jumilla,-5,-8
Jerez-Xeres-Sherry,-6,-11
Priorato,9.5,1
Rioja,3.5,5.5
Bierzo,-5,8
Castilla y León,-3,5
Campo de Borja,-5,4
Cádiz,-6.5,-11
Cava,14,2
Jerez Palo Cortado,-6,-11
Manzanilla,-8,-8
Valdeorras,-8,7
Empordà,14,3
Rioja Alta,3.5,5.5
Alicante,8,-6
Somontano,9,5
Dominio de Valdepusa,-2,-1
Ribeiro,-9,9
Mallorca,15,-2
Yecla,-5,-8
Cigales,-4,4
Utiel-Requena,7.5,-3
Navarra,5,7
Rioja Alavesa,3.5,5.5
Costers del Segre,12,4
Sardón de Duero,0,4
Málaga,-3,-11
Cataluña,14,2
Rueda,-2,3
Jerez Pedro Ximénez (PX),-6,-11
Montsant,15,5
Conca de Barberà,13,2
Rías Baixas,-11,8
Jerez Amontillado,-6,-11
Tierra del Vino de Zamora,-5,5
Penedès,12,3
Dehesa del Carrizal,-1,-1
Madrid,0,0
Cariñena,7,4
Condado de Huelva,-9,-8
Almansa,6,-5
Jerez Cream,-6,-11
Valencia,7.5,-3
Sierras de Málaga,-4,-10
Ribeira Sacra,-8,10
El Terrerazo,7.5,-3
Jerez Oloroso,-6,-11
Castilla,NaN,NaN
Alella,13.5,2
