Lugar,Latitud,Longitud
Toro,41.529,-5.059
Vino de España,NaN,NaN
Ribera del Duero,41.366,-3.933
Montilla-Moriles,37.433,-4.716
Jumilla,38.516,-1.65
Jerez-Xeres-Sherry,36.675,-6.141
Priorato,41.183,1.116
Rioja,42.433,-2.416
Bierzo,42.583,-6.616
Castilla y León,NaN,NaN
Campo de Borja,41.433,-1.55
Cádiz,36.525,-6.291
Cava,NaN,NaN
Jerez Palo Cortado,36.675,-6.141
Manzanilla,36.675,-6.141
Valdeorras,42.383,-7.15
Emporda,42.25,2.916
Rioja Alta,42.583,-2.65
Alicante,38.347,-48.556
Somontano,42.283,41.667
Dominio de Valdepusa,40.283,-3.683
Ribeiro,42.683,-8.15
Mallorca,39.566,2.6
Yecla,38.916,-1.483
Cigales,41.533,-4.75
Utiel-Requena,39.4,-1.68
Navarra,42.833,-1.65
Rioja Alavesa,42.616,-2.683
Costers del Segre,41.6,1.183
Sardon de Duero,41.65,-4.033
Malaga,36.719,-4.420
Cataluña,NaN,NaN
Rueda,41.583.,-4.516
Jerez Pedro Ximenes (PX),36.675,-6.141
Montsant,41.216,01.05
Conca de Barbera,41.5,1.3
Rias Baixas,42.6,-8.716
Jerez Amontillado,36.675,-6.141
Tierra del Vino de Zamora,41.583,-5.
