Name,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pHsulphates,alcohol,quality
Organic Chardonnay - Muscat 2018,0.29,0.41,10.8,0.048,55.0,149.0,0.9937,3.09,0.59,10.9666666666667,7
Mosel Alte Reben Riesling 2017,0.53,0.16,2.7,0.036,34.0,128.0,0.98856,3.2,0.53,13.2,8
Kalkundkiesel 2019,0.25,0.39,2.1,0.036,30.0,124.0,0.9908,3.28,0.43,12.2,8
Oberhäuser Leistenberg Riesling Kabinett 2018,0.28,0.35,1.6,0.054,31.0,148.0,0.99178,3.18,0.47,10.7,5
Jesuitengarten GG 2012,0.32,0.34,5.7,0.044,27.0,91.0,0.99184,3.28,0.6,12.0,7
Sauvignon Blanc 2018,0.3,0.91,8.2,0.034,50.0,199.0,0.99394,3.39,0.49,11.7,6
L'Elfo Pinot Grigio 2018,0.36,0.14,11.6,0.043,35.0,228.0,0.9977,3.13,0.51,8.9,5
Perfiles Calcareo Chardonnay 2016,0.26,0.36,1.6,0.032,6.0,106.0,0.993,3.15,0.4,10.4,4
S'Elegas Nuragus di Cagliari 2018,0.18,0.3,1.1,0.033,20.0,57.0,0.99109,3.02,0.51,11.0,6
Rheinschiefer Hallgarten Riesling Trocken 2018,0.31,0.73,14.35,0.044,27.0,191.0,1.00013,2.96,0.88,8.7,5
Balbino Vermentino di Maremma Toscana 2018,0.14,0.31,1.2,0.034,53.0,138.0,0.99084,3.38,0.35,11.5,7
Riesling 2018,0.54,0.28,5.4,0.06,21.0,105.0,0.9949,3.27,0.37,9.0,5
Ehrenhausen Muschelkalk 2017,0.12,0.36,2.1,0.044,47.0,146.0,0.9914,3.27,0.74,11.4,7
Est! Est!! Est!!! di Montefiascone 2018,0.28,0.39,1.9,0.052,23.0,116.0,0.9941,3.25,0.4,10.4,6
Ruppertsberger Reiterpfad Riesling 2016,0.22,0.45,22.6,0.12,55.0,122.0,0.99636,3.1,0.35,12.8,5
Douro Redoma Branco 2018,0.27,0.45,8.3,0.05,52.0,196.0,0.9955,3.18,0.48,9.5,5
Kalk & Kreide Sauvignon Blanc 2019,0.285,0.29,5.15,0.035,64.0,138.0,0.9895,3.19,0.34,12.4,8
1000-Eimerberg Smaragd Riesling 2018,0.12,0.33,1.0,0.038,23.0,131.0,0.99164,3.25,0.45,9.8,5
Douro Coche Branco 2018,0.27,0.34,1.8,0.028,26.0,168.0,0.9911,2.99,0.48,12.1,7
Insolia 2017,0.26,0.29,7.1,0.036,28.0,100.0,0.99534,3.08,0.36,9.3,6
Alb de Petro Vaselo 2017,0.24,0.26,12.3,0.053,34.0,134.0,0.9972,3.34,0.45,9.5,6
Gönnheimer Alter Satz Trocken 2018,0.18,0.24,1.4,0.047,21.0,106.0,0.99383,3.52,0.64,10.5,7
Riesling Feinherb 2018,0.37,0.23,9.5,0.057,54.0,166.0,0.99568,3.23,0.42,10.0,5
Arneis Langhe 2018,0.13,0.34,9.3,0.062,40.0,126.0,0.9966,3.21,0.39,9.6,5
Roero Arneis 2019,0.27,0.29,11.4,0.036,31.0,115.0,0.9949,3.35,0.48,10.5,8
Le Cornillard Anjou 2015,0.29,0.29,4.4,0.051,26.0,146.0,0.9939,3.16,0.39,10.2,5
Chardonnay delle Venezie 2019,0.35,0.53,10.1,0.053,37.0,151.0,0.9963,3.07,0.4,9.4,5
Morstein Riesling 2016,0.35,0.26,6.8,0.034,36.0,120.0,0.99188,3.38,0.4,11.5,6
Gavi 2017,0.23,0.32,13.4,0.044,35.0,169.0,0.99975,3.12,0.47,8.8,7
Grüner Veltliner Smaragd Classic 2017,0.33,0.22,5.2,0.047,24.0,151.0,0.99527,3.22,0.47,10.3,5
Maximin Herrenberg 1896 Riesling Alte Reben 2018,0.26,0.24,7.8,0.052,54.0,214.0,0.9961,3.13,0.47,8.9,5
Meursault 1er Cru 'Les Charmes-Dessus' 2013,0.27,0.26,11.8,0.053,55.0,173.0,0.99699,3.11,0.6,9.8,5
Chardonnay 2017,0.25,0.32,10.3,0.041,66.0,272.0,0.9969,3.17,0.52,9.1,6
Chardonnay 2018,0.27,0.27,2.4,0.048,30.0,149.0,0.9936,3.1,0.51,9.2,6
The Winemaster's Chardonnay 2015,0.24,0.31,8.4,0.045,52.0,183.0,0.9963,3.09,0.32,8.8,5
Les Genêts 2016,0.32,0.24,1.5,0.036,38.0,124.0,0.9898,3.29,0.42,12.4,7
Castel Firmian Chardonnay Trentino 2018,0.23,0.39,1.6,0.032,12.0,65.0,0.9898,3.25,0.4,12.7,7
Chardonnay Reserva 2018,0.39,0.38,9.7,0.053,49.0,226.0,0.99787,3.3,0.57,9.4,6
Bèru 2015,0.31,0.29,10.5,0.04,21.0,145.0,0.9966,3.04,0.35,9.4,5
